iter	Logloss
0	0.6705426718
1	0.6474907559
2	0.625706969
3	0.6073812368
4	0.5918703374
5	0.5757032865
6	0.5623067927
7	0.5513870115
8	0.5406803999
9	0.5331492225
10	0.5222919697
11	0.5098771997
12	0.5018071285
13	0.4936434782
14	0.4824725368
15	0.4744019384
16	0.4645543203
17	0.4581687795
18	0.4525640728
19	0.4461672958
20	0.4405337018
21	0.4349664596
22	0.4302047087
23	0.4269842011
24	0.422329675
25	0.4170150664
26	0.4132354842
27	0.4072083917
28	0.4031915927
29	0.399248952
30	0.3953588189
31	0.3925317611
32	0.3902667189
33	0.3873080138
34	0.3843824224
35	0.381030686
36	0.3779309141
37	0.3760215061
38	0.3728384852
39	0.3699146582
40	0.3659432473
41	0.3626686247
42	0.3598492578
43	0.3582964383
44	0.355534077
45	0.3543923432
46	0.3519341717
47	0.349742999
48	0.3481914994
49	0.3458965737
50	0.3441654802
51	0.3416518006
52	0.3394981234
53	0.3370742676
54	0.3345959426
55	0.3311668574
56	0.3293479454
57	0.3288326284
58	0.3278125692
59	0.326011649
60	0.3234214775
61	0.3225278538
62	0.3201062503
63	0.316897905
64	0.3156658004
65	0.3142965631
66	0.3133838611
67	0.312667545
68	0.3114251317
69	0.3098371186
70	0.3086683801
71	0.307876359
72	0.3052177222
73	0.3040582994
74	0.3023623139
75	0.3010417753
76	0.2994838991
77	0.2981188478
78	0.2963792948
79	0.2949889634
80	0.2936069125
81	0.2919909934
82	0.2912655538
83	0.2895537156
84	0.2872677527
85	0.2864201448
86	0.2859425989
87	0.2849870729
88	0.2842767326
89	0.281653633
90	0.2801750956
91	0.2792822432
92	0.2774970584
93	0.2758622005
94	0.2746703853
95	0.2731678298
96	0.2709850187
97	0.2697507859
98	0.2682539916
99	0.2668271491
100	0.2656638933
101	0.2649592704
102	0.2634243814
103	0.262446765
104	0.2611307286
105	0.2600204893
106	0.2586366928
107	0.2565574782
108	0.2553531269
109	0.2541439201
110	0.2529616121
111	0.2522774741
112	0.2513270204
113	0.250134756
114	0.2483195316
115	0.2481383496
116	0.2468761176
117	0.2460556416
118	0.2449743887
119	0.2437179695
120	0.2418825515
121	0.2406228172
122	0.2398394442
123	0.2390334356
124	0.2374413238
125	0.2365205513
126	0.2359784191
127	0.2353117639
128	0.2344067701
129	0.2332353203
130	0.2317098234
131	0.2308806606
132	0.2302214943
133	0.2299827388
134	0.2289817601
135	0.2282432308
136	0.2272168143
137	0.2259007701
138	0.2247652308
139	0.2245304294
140	0.223483968
141	0.2217110535
142	0.2210487815
143	0.2204895508
144	0.2189165637
145	0.2177287601
146	0.2169906471
147	0.2167306995
148	0.2162533137
149	0.215910481
150	0.2144533725
151	0.2131918451
152	0.2120838209
153	0.2114065669
154	0.2105107502
155	0.2095763877
156	0.2091743936
157	0.2083259753
158	0.2069316261
159	0.2061400518
160	0.2056110199
161	0.205325333
