iter	Logloss
162	0.2044442083
163	0.2035394956
164	0.2022322383
165	0.201376812
166	0.1998702215
167	0.1990087067
168	0.1981674479
169	0.1972953552
170	0.1967144857
171	0.1956305241
172	0.194730329
173	0.1939075665
174	0.1933473909
175	0.1930049675
176	0.1908412311
177	0.1900594789
178	0.1891009592
179	0.1877227321
180	0.1866442669
181	0.1857724311
182	0.1838516837
183	0.182977322
184	0.1816490703
185	0.1801869147
186	0.1792473367
187	0.1791134668
188	0.178964818
189	0.1772638136
190	0.1765967728
191	0.1763834712
192	0.1756281703
193	0.1751947913
194	0.1743922061
195	0.1727688308
196	0.1722957128
197	0.1707382446
198	0.1692236283
199	0.1683848813
200	0.1682233663
201	0.1679799581
202	0.1675351514
203	0.1661417796
204	0.165221475
205	0.16355583
206	0.1632710923
207	0.163180841
208	0.1628779347
209	0.1624793291
210	0.1619058508
211	0.1612222054
212	0.1606730229
213	0.1599077798
214	0.1587779598
215	0.1587288305
216	0.1579005264
217	0.1573002803
218	0.1570477584
219	0.1558393453
220	0.1551569795
221	0.1550995683
222	0.1546024625
223	0.1544017088
224	0.1537088038
225	0.1525797048
226	0.1516313592
227	0.151169118
228	0.150668514
229	0.1498283992
230	0.1497753456
231	0.1486641713
232	0.1481344175
233	0.1477163013
234	0.1465661549
235	0.1461562984
236	0.1447954508
237	0.1436538288
238	0.1433461257
239	0.1422290238
240	0.1416753252
241	0.1413486881
242	0.1400786957
243	0.1390727459
244	0.1389893128
245	0.1387014704
246	0.138186607
247	0.1373361042
248	0.136218293
249	0.1361745966
250	0.136030714
251	0.1359452066
252	0.1351516415
253	0.1349034352
254	0.1340661151
255	0.1337955471
256	0.1330615706
257	0.1324159203
258	0.1317322167
259	0.1309149937
260	0.1304382922
261	0.1298720604
262	0.1294425051
263	0.1286733434
264	0.1276400945
265	0.1273824337
266	0.1265720323
267	0.1263904537
268	0.1255073888
269	0.1254528079
270	0.1251493366
271	0.1244231754
272	0.1240542919
273	0.1237211402
274	0.1229543254
275	0.122352163
276	0.121550769
277	0.1213899539
278	0.1212208092
279	0.1205944667
280	0.1201564155
281	0.1194046387
282	0.1192229076
283	0.1189613529
284	0.1184345496
285	0.1175441269
286	0.117347118
287	0.1168406277
288	0.1167828573
289	0.116263278
290	0.1157388076
291	0.1150934608
292	0.1146381978
293	0.1137659376
294	0.1131630314
295	0.1127627534
296	0.1126226189
297	0.1123039732
298	0.1114810575
299	0.1112841709
300	0.1110153873
301	0.1103694037
302	0.1098381183
303	0.109620461
304	0.1095413767
305	0.10939891
306	0.1089077962
307	0.1086214067
308	0.1083093563
309	0.1074491335
310	0.1065788875
311	0.1060104706
312	0.1054200945
313	0.1050607278
314	0.1045696419
315	0.1043401145
316	0.1035481537
317	0.1028834645
318	0.1025720697
319	0.1020733785
320	0.1016753112
321	0.1012709141
322	0.10082552
323	0.1002739584
324	0.1001273337
325	0.09940348756
326	0.09899934206
327	0.09833298004
328	0.09795691521
329	0.09788977634
330	0.09704493765
331	0.09684239444
332	0.09652199716
333	0.09580112534
334	0.09531251099
335	0.09506811944
336	0.09398737047
337	0.09350536488
338	0.09310598751
339	0.09272149414
340	0.09230984778
341	0.09215634644
342	0.09195255252
343	0.0915690631
344	0.09139650324
345	0.09095312735
346	0.0908091392
347	0.09048233896
348	0.09045768054
349	0.09043467952
350	0.09022660952
351	0.0898579386
352	0.08950603106
353	0.08932409831
354	0.08905243579
355	0.08812465442
356	0.08777711372
357	0.08732766085
358	0.0873028766
359	0.08703165658
360	0.0864499876
361	0.08630348993
362	0.08588725623
363	0.0853035239
364	0.08488414219
365	0.08442343091
366	0.08401614771
367	0.08395381572
368	0.08376323196
369	0.08348416816
370	0.082991368
371	0.08256706019
372	0.08200945138
373	0.08147041641
374	0.08123530993
375	0.08085365869
376	0.08066272736
377	0.08010114613
378	0.07983574136
379	0.07967359146
380	0.07918853009
381	0.07884004381
382	0.0785193512
383	0.07838667445
384	0.07821493065
385	0.07811742996
386	0.07770930936
387	0.07717322101
388	0.07707785039
389	0.07686055884
390	0.0765192651
391	0.07626155571
392	0.07575943171
393	0.07543656561
394	0.0750207175
395	0.07486589308
396	0.07470302204
397	0.07454127858
398	0.07450570123
399	0.07432350627
400	0.07428944798
401	0.07418545504
402	0.07405625057
403	0.07367498418
404	0.07335237417
405	0.07317990457
406	0.07291367834
407	0.07256798661
408	0.07243209341
409	0.07216233702
410	0.07205951557
411	0.07191216406
412	0.07151249799
413	0.07141829641
414	0.07114618869
415	0.07100024169
416	0.07067791474
417	0.07047845846
418	0.07011641127
419	0.07006988776
420	0.07003908393
421	0.07001342965
422	0.06964980992
423	0.06949239675
424	0.06937453138
425	0.06893185308
426	0.06866895588
427	0.06850178399
428	0.06810841418
429	0.06799322048
430	0.06788522447
431	0.06785621319
432	0.06783413862
433	0.06753576636
434	0.06728937106
435	0.06717212897
436	0.06708960671
437	0.06686005327
438	0.06683269401
439	0.06652171401
440	0.06644553388
441	0.06616440673
442	0.06592381859
443	0.06589725405
444	0.06575897422
445	0.06569376993
446	0.06535936383
447	0.06522843941
448	0.06510643508
449	0.06491522877
450	0.06481461466
451	0.06479442242
452	0.0645918304
453	0.06446824152
454	0.06431290814
455	0.06402925945
456	0.06367509576
457	0.06344716564
458	0.0631472694
459	0.06295001703
460	0.06269120802
461	0.06256360576
462	0.06240609595
463	0.0622843607
464	0.06205034403
465	0.06189220849
466	0.06169849095
467	0.06147895011
468	0.06117955844
469	0.06088998313
470	0.06067419101
471	0.06046108724
472	0.06023397956
473	0.05994797979
474	0.05966186597
475	0.05938682438
476	0.05927867286
477	0.05910037084
478	0.05888872235
479	0.05867616973
480	0.05850182149
481	0.05844116751
482	0.05822953864
483	0.05804020927
484	0.05793023109
485	0.05790962702
486	0.05781507394
487	0.05771764659
488	0.05733598897
489	0.05716672748
490	0.0570415592
491	0.05689275461
492	0.05669674118
493	0.05668209904
494	0.05660412047
495	0.05634106579
496	0.05610125447
497	0.05597624759
498	0.05577723627
499	0.05559795972
